"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","FAIL - Sans token - 401","DELETE /api/rendezvous/:id - Annuler RDV","2026-04-29","passed","2026-04-29","","","",""
"","300","FAIL - Citoyen ne peut pas marquer servi - 403","PUT /api/tickets/agent/:id/servi - Ticket servi","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Email d'approbation envoye","PUT /api/etablissements/:id/valider — Approbation","2026-04-29","skipped","","","","",""
"","306","✅ Route publique — pas de token requis","GET /api/etablissements — Liste publique","2026-04-29","passed","2026-04-29","","","",""
"","214","FAIL - Service inexistant - 404","GET /api/services/:id/stats - Stats publiques","2026-04-29","passed","2026-04-29","","","",""
"","1","EDGE — position négative → 0 (pas de temps négatif)","[CRITIQUE] Calcul temps d'attente estimé","2026-04-29","passed","2026-04-29","","","",""
"","20","OK — 08:00-17:00 durée 30min sans pause → 18 créneaux","[CRITIQUE] Génération créneaux horaires","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Etablissement inexistant retourne liste vide","GET /api/services/etablissement/:id - Liste publique","2026-04-29","skipped","","","","",""
"","","FAIL - Sans token - 401","GET /api/stats/plateforme/dashboard - Dashboard super admin","2026-04-29","skipped","","","","",""
"","226","OK - Agent marque un RDV comme termine - statut termine","Agent - Gestion des RDV du jour","2026-04-29","passed","2026-04-29","","","",""
"","3630","✅ [IHM-013] Service ""inactif"" → bouton Prendre ticket désactivé","UI Chrome","2026-04-29","passed","2026-04-29","[SERVICE] Accès service selon statut et configuration","ui\critical-journeys.ui.spec.js","",""
"","3571","✅ [IHM-015] Signalement → raison obligatoire + bouton désactivé après (dejaSignale)","UI Chrome","2026-04-29","passed","2026-04-29","[SIGNAL] Signalement établissement","ui\critical-journeys.ui.spec.js","",""
"","451","[FILE-003] Ticket ""servi"" → la file avance (le prochain est appelable)","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Compteur non_lues correct - 2 non lues","GET /api/notifications - Mes notifications","2026-04-29","skipped","","","","",""
"","","OK - Admin cree service RDV - 201","POST /api/services - Creer service","2026-04-29","skipped","","","","",""
"","213","FAIL - Citoyen ne peut pas creer un service - 403","POST /api/services - Creer service","2026-04-29","passed","2026-04-29","","","",""
"","","[EXC-001] Exception fermeture → les créneaux libres du jour sont supprimés","[EXCEPTION] Fermeture exceptionnelle — gestion des RDV impactés","2026-04-29","skipped","","","","",""
"","304","OK - Email d'approbation envoye","PUT /api/etablissements/:id/valider — Approbation","2026-04-29","passed","2026-04-29","","","",""
"","295","✅ Rejet avec motif → statut = rejete + motif sauvegardé","PUT /api/etablissements/:id/rejeter — Rejet","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Citoyen ne peut pas creer un service - 403","POST /api/services - Creer service","2026-04-29","skipped","","","","",""
"","0","FAIL - RDV dans 22h - hors fenetre 24h","Regle metier - Fenetres de rappel automatique","2026-04-29","passed","2026-04-29","","Rappel 24h (fenetre 23h-24h)","",""
"","1216","[UI-DASH-007] /superadmin/validate non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Dashboard Super Admin (acces non autorise)","ui\dashboard.ui.spec.js","",""
"","264","OK - Admin assigne un service a un agent - 200","PUT /api/agents/:id/assigner-service - Assigner service","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Ticket marque absent - statut = no_show","PUT /api/tickets/agent/:id/absent - Ticket no-show","2026-04-29","skipped","","","","",""
